initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_erodit_no_room_popup_body_message,"No rooms left in this hotel on your dates. Don’t worry, we’ve picked similar stays for you. Let’s find another room!",accommodation,accommodation_erodit,no_room_popup_body_message,FALSE
andpoe.accom_erodit_no_room_popup_body_no_similar_message,No rooms left in this hotel on your dates. Let’s check out other amazing hotels and find you a room!,accommodation,accommodation_erodit,no_room_popup_body_no_similar_message,FALSE
andpoe.accom_erodit_no_room_popup_body_repeated_error_message,"Don’t worry, we''ve picked similar stays for you. Let''s explore and find another room!",accommodation,accommodation_erodit,no_room_popup_body_repeated_error_message,FALSE
andpoe.accom_erodit_no_room_popup_body_show_other_hotels_button,Show me other hotels,accommodation,accommodation_erodit,no_room_popup_body_show_other_hotels_button,FALSE
andpoe.accom_erodit_no_room_popup_header_title,"Sorry, you just missed the last room!",accommodation,accommodation_erodit,no_room_popup_header_title,FALSE
andpoe.accom_erodit_no_room_popup_see_other_hotels_label,"<![CDATA[Or <font color=""#0071CE"">see other hotels</font>]]>",accommodation,accommodation_erodit,no_room_popup_see_other_hotels_label,FALSE
andpoe.accom_erodit_no_room_popup_show_similar_button,Show me similar hotels,accommodation,accommodation_erodit,no_room_popup_show_similar_button,FALSE
andpoe.accom_erodit_refresh_room_loading_popup_body_description,Refreshing the room list...,accommodation,accommodation_erodit,refresh_room_loading_popup_body_description,FALSE
andpoe.accom_erodit_refresh_room_loading_popup_body_title,We’re now checking others for you,accommodation,accommodation_erodit,refresh_room_loading_popup_body_title,FALSE
andpoe.accom_erodit_refresh_room_loading_popup_header_title,Your selection is unavailable,accommodation,accommodation_erodit,refresh_room_loading_popup_header_title,FALSE
andpoe.accom_erodit_refresh_room_notification_message,Here are the other options. Let’s find a room that best suits your needs!,accommodation,accommodation_erodit,refresh_room_notification_message,FALSE
andpoe.accom_eticket_loading_map,Opening map,accommodation,,,FALSE
andpoe.accom_everest_bookingform_bookingerror_backtosearchform_button,Back to Search Form,accommodation,accommodation_everest_bookingform,bookingerror_backtosearchform_button,FALSE
andpoe.accom_everest_bookingform_bookingerror_bookingunabletoproceed_title,Booking Unable to Proceed,accommodation,accommodation_everest_bookingform,bookingerror_bookingunabletoproceed_title,FALSE
andpoe.accom_everest_bookingform_bookingerror_changedetails_button,Change Details,accommodation,accommodation_everest_bookingform,bookingerror_changedetails_button,FALSE
andpoe.accom_everest_bookingform_pricechange_pricechange_description,Please note that the final price for this booking has been adjusted after TTogether validation process,accommodation,accommodation_everest_bookingform,pricechange_pricechange_description,FALSE
andpoe.accom_everest_bookingform_pricechange_pricechange_title,Price Change,accommodation,accommodation_everest_bookingform,pricechange_pricechange_title,FALSE
andpoe.accom_everest_bookingform_processingstate_pleasewait_description,<![CDATA[We are checking room availability and verifying your ID & Mobile Number to check for your eligibility.]]>,accommodation,accommodation_everest_bookingform,processingstate_pleasewait_description,FALSE
andpoe.accom_everest_bookingform_thaiid_instruction,"<![CDATA[Input ID Card Number <font color=""#F34646"">*</font>]]>",accommodation,,,FALSE
andpoe.accom_everest_bookingform_thaiid_label,Thai ID Card Number,accommodation,accommodation_everest_bookingform,thaiid_label,FALSE
andpoe.accom_everest_bookingform_thaiid_page_idnumber_instruction,Please input last 4 digits of your Thai ID Number,accommodation,accommodation_everest_bookingform,thaiid_page_idnumber_instruction,FALSE
andpoe.accom_everest_bookingform_thaiid_page_idnumber_textarea,ID Number,accommodation,accommodation_everest_bookingform,thaiid_page_idnumber_textarea,FALSE
